dates UTC, chainage (m)
1987-09-11 23:09:17+00:00,168.7
1987-10-06 23:04:03+00:00,184.5
1987-11-14 23:10:35+00:00,159.9
1987-12-16 23:11:05+00:00,194.3
1988-01-17 23:11:38+00:00,158.9
1988-02-18 23:12:11+00:00,165.6
1988-04-22 23:12:40+00:00,166.2
1988-05-24 23:12:58+00:00,164.4
1988-06-09 23:13:03+00:00,155.2
1988-06-18 23:07:20+00:00,158.3
1988-08-28 23:13:18+00:00,167.2
1988-09-22 23:07:26+00:00,176.3
1988-09-29 23:13:09+00:00,174.1
1988-12-02 23:13:03+00:00,193.2
1989-01-03 23:12:50+00:00,174.9
1989-03-08 23:12:03+00:00,173.7
1989-05-27 23:10:52+00:00,187.5
1989-06-12 23:10:29+00:00,191.9
1989-07-14 23:09:53+00:00,169.7
1989-08-08 23:03:35+00:00,179.6
1989-08-15 23:09:12+00:00,162.0
1989-08-24 23:03:14+00:00,161.7
1989-09-09 23:02:50+00:00,177.2
1989-09-16 23:08:20+00:00,171.0
1990-03-11 23:03:10+00:00,187.3
1990-04-12 23:02:42+00:00,204.3
1990-04-21 22:56:59+00:00,202.9
1990-05-23 22:56:55+00:00,183.8
1990-05-30 23:02:41+00:00,187.2
1990-06-15 23:02:40+00:00,191.7
1990-07-01 23:02:40+00:00,200.6
1990-07-10 22:56:51+00:00,185.2
1990-08-02 23:02:31+00:00,172.0
1990-08-11 22:56:43+00:00,192.3
1990-08-18 23:02:28+00:00,173.1
1990-09-03 23:02:21+00:00,185.7
1990-09-19 23:02:18+00:00,179.7
1990-10-21 23:02:03+00:00,198.3
1990-10-30 22:56:10+00:00,192.3
1990-11-15 22:55:49+00:00,182.9
1990-12-08 23:01:48+00:00,187.2
1991-01-09 23:02:34+00:00,206.6
1991-02-03 22:57:15+00:00,210.6
1991-02-10 23:03:13+00:00,203.6
1991-03-14 23:03:52+00:00,199.6
1991-03-23 22:58:18+00:00,197.3
1991-03-30 23:04:07+00:00,206.4
1991-06-02 23:05:15+00:00,214.9
1991-06-27 22:59:49+00:00,189.7
1991-07-20 23:05:55+00:00,183.0
1991-07-29 23:00:12+00:00,178.9
1991-08-14 23:00:14+00:00,175.4
1991-08-21 23:06:06+00:00,182.3
1991-09-06 23:06:20+00:00,184.7
1991-09-15 23:00:15+00:00,181.3
1991-09-22 23:06:28+00:00,190.6
1991-10-08 23:06:34+00:00,176.1
1991-12-27 23:06:50+00:00,187.8
1992-01-05 23:00:59+00:00,192.9
1992-01-12 23:06:46+00:00,166.9
1992-01-28 23:06:51+00:00,189.1
1992-07-06 23:05:37+00:00,185.0
1992-07-22 23:05:24+00:00,189.5
1992-08-07 23:05:12+00:00,186.4
1992-08-16 22:59:16+00:00,196.8
1992-09-17 22:58:47+00:00,190.0
1992-10-10 23:04:02+00:00,175.7
1992-11-27 23:03:35+00:00,174.6
1992-12-06 22:57:57+00:00,176.1
1992-12-22 22:58:06+00:00,191.4
1992-12-29 23:03:56+00:00,192.7
1993-01-14 23:04:09+00:00,194.5
1993-01-23 22:58:28+00:00,211.2
1993-03-03 23:04:36+00:00,187.8
1993-04-04 23:04:45+00:00,186.8
1993-04-20 23:04:54+00:00,190.3
1993-05-15 22:59:13+00:00,155.4
1993-06-07 23:05:04+00:00,158.4
1993-06-16 22:59:15+00:00,149.4
1993-06-23 23:04:59+00:00,161.2
1993-07-25 23:04:53+00:00,173.8
1993-08-10 23:04:54+00:00,173.6
1993-09-11 23:04:52+00:00,183.1
1993-09-20 22:59:03+00:00,189.7
1993-09-27 23:04:49+00:00,184.0
1993-11-14 23:04:27+00:00,180.7
1993-11-30 23:04:24+00:00,187.9
1994-01-01 23:04:07+00:00,195.4
1994-03-22 23:03:00+00:00,182.5
1994-04-23 23:02:26+00:00,169.0
1994-05-09 23:02:08+00:00,170.9
1994-06-10 23:01:32+00:00,177.4
1994-07-12 23:00:43+00:00,185.0
1994-07-28 23:00:16+00:00,178.9
1994-08-13 22:59:52+00:00,181.2
1994-08-29 22:59:29+00:00,199.2
1994-09-14 22:59:05+00:00,197.9
1994-09-30 22:58:37+00:00,190.0
1994-10-16 22:58:07+00:00,175.2
1994-11-01 22:57:33+00:00,179.2
1994-11-17 22:57:00+00:00,180.3
1995-01-04 22:55:28+00:00,175.7
1995-01-20 22:54:53+00:00,185.4
1995-02-05 22:54:15+00:00,194.5
1995-02-21 22:53:36+00:00,168.7
1995-04-10 22:51:39+00:00,156.9
1995-05-12 22:50:14+00:00,165.9
1995-05-28 22:49:30+00:00,165.2
1995-06-29 22:48:02+00:00,169.8
1995-07-15 22:47:18+00:00,163.0
1995-07-31 22:46:36+00:00,163.4
1995-08-16 22:45:52+00:00,157.5
1995-10-03 22:43:30+00:00,177.9
